region,final_score,akimat,efficiency,success_rate
г.Шымкент,0.968,405,308368.204,0.77
Акмолинская область,0.841,963,257498.425,0.107
Туркестанская область,0.515,2281,158085.881,0.491
Северо-Казахстанская область,0.491,1554,151805.98,0.708
Восточно-Казахстанская область,0.384,1376,118093.491,0.55
Павлодарская область,0.232,2280,72194.011,0.489
Алматинская область,0.224,2680,69780.647,0.0
Костанайская область,0.177,2509,54033.179,0.916
область Жетісу,0.088,1479,27216.218,0.883
Карагандинская область,0.065,926,20258.864,0.883
Жамбылская область,0.056,3312,17462.744,0.0
область Абай,0.037,3683,11426.935,0.783
Актюбинская область,0.03,2385,9245.106,0.813
Кызылординская область,0.03,1260,9247.457,0.747
Атырауская область,0.021,617,6026.895,0.857
Западно-Казахстанская область,0.009,5156,2883.088,0.758
область Ұлытау,0.006,360,1545.182,0.861
Мангистауская область,0.002,3423,750.735,0.459
